Wavelength (nm)	E22 abs e
527.25	221.64
527.50	227.38
527.75	178.93
528.00	200.91
528.25	175.99
528.50	187.61
528.75	175.43
529.00	136.37
529.25	177.81
529.50	164.51
529.75	199.37
530.00	147.29
530.25	154.29
530.50	175.85
530.75	119.99
531.00	115.79
531.25	133.01
531.50	107.25
531.75	104.45
532.00	148.55
532.25	134.41
532.50	112.01
532.75	112.85
533.00	99.267
533.25	90.306
533.50	98.847
533.75	106.13
534.00	100.81
534.25	108.51
534.50	153.59
534.75	96.887
535.00	91.006
535.25	84.706
535.50	99.267
535.75	50.404
536.00	58.244
536.25	84.426
536.50	69.585
536.75	53.484
537.00	91.706
537.25	103.33
537.50	47.323
537.75	79.806
538.00	68.605
538.25	73.785
538.50	89.746
538.75	60.624
539.00	82.466
539.25	66.785
539.50	60.484
539.75	79.806
540.00	58.804
540.25	97.867
540.50	93.947
540.75	90.866
541.00	68.745
541.25	87.786
541.50	57.544
541.75	88.906
542.00	33.042
542.25	60.484
542.50	65.105
542.75	72.665
543.00	38.643
543.25	36.403
543.50	59.504
543.75	70.985
544.00	67.065
544.25	57.824
544.50	84.146
544.75	57.264
545.00	47.603
545.25	30.662
545.50	15.821
545.75	76.165
546.00	49.844
546.25	34.862
546.50	82.746
546.75	87.226
547.00	65.105
547.25	25.482
547.50	54.044
547.75	40.883
548.00	78.126
548.25	74.345
548.50	59.784
548.75	14.561
549.00	82.466
549.25	50.824
549.50	26.462
549.75	27.162
550.00	32.902
550.25	55.584
550.50	47.883
550.75	30.382
551.00	40.463
551.25	36.543
551.50	20.441
551.75	-0.14001
552.00	44.523
552.25	74.625
552.50	45.363
552.75	28.282
553.00	19.741
553.25	71.545
553.50	34.302
553.75	94.227
554.00	31.082
554.25	45.643
554.50	62.864
554.75	43.543
555.00	7.0005
555.25	30.662
555.50	58.104
555.75	23.102
556.00	45.083
556.25	65.945
556.50	41.163
556.75	36.403
557.00	11.761
557.25	35.563
557.50	15.681
557.75	66.645
558.00	51.524
558.25	46.483
558.50	26.602
558.75	43.543
559.00	68.745
559.25	1.8201
559.50	-8.8206
559.75	56.844
560.00	25.202
560.25	30.102
560.50	54.324
560.75	72.245
561.00	62.164
561.25	70.005
561.50	5.0404
561.75	32.622
562.00	26.462
562.25	15.821
562.50	-7.5605
562.75	30.802
563.00	94.787
563.25	64.265
563.50	31.922
563.75	49.143
564.00	9.8007
564.25	29.262
564.50	48.723
564.75	-10.081
565.00	-4.7603
565.25	60.344
565.50	8.6806
565.75	79.666
566.00	42.703
566.25	69.305
566.50	20.581
566.75	45.083
567.00	31.782
567.25	6.7205
567.50	38.643
567.75	2.3802
568.00	48.583
568.25	35.282
568.50	67.765
568.75	65.805
569.00	30.242
569.25	26.882
569.50	28.068
569.75	12.041
570.00	10.501
570.25	16.101
570.50	51.804
570.75	23.802
571.00	52.784
571.25	40.743
571.50	2.3802
571.75	43.543
572.00	28.142
572.25	36.683
572.50	49.423
572.75	38.083
573.00	35.703
573.25	31.362
573.50	47.183
573.75	26.882
574.00	32.762
574.25	48.163
574.50	21.702
574.75	18.061
575.00	11.481
575.25	45.363
575.50	44.943
575.75	25.902
576.00	11.621
576.25	51.384
576.50	38.643
576.75	44.383
577.00	6.0204
577.25	45.223
577.50	52.924
577.75	48.583
578.00	1.1201
578.25	32.902
578.50	47.463
578.75	17.921
579.00	27.162
579.25	36.403
579.50	53.344
579.75	35.422
580.00	49.984
580.25	37.103
580.50	20.861
580.75	27.922
581.00	13.301
581.25	18.621
581.50	83.166
581.75	33.602
582.00	50.264
582.25	36.543
582.50	73.365
582.75	-14.981
583.00	36.683
583.25	26.882
583.50	19.321
583.75	40.463
584.00	60.344
584.25	61.324
584.50	17.361
584.75	35.002
585.00	35.983
585.25	11.481
585.50	27.302
585.75	30.662
586.00	64.125
586.25	39.763
586.50	41.163
586.75	41.863
587.00	23.802
587.25	63.284
587.50	35.703
587.75	61.044
588.00	47.743
588.25	34.022
588.50	-5.1804
588.75	27.162
589.00	15.681
589.25	28.562
589.50	21.281
589.75	49.003
590.00	59.644
590.25	27.022
590.50	31.082
590.75	34.442
591.00	3.5002
591.25	41.863
591.50	48.863
591.75	3.9203
592.00	25.622
592.25	20.861
592.50	4.3403
592.75	23.522
593.00	21.562
593.25	33.322
593.50	61.744
593.75	44.523
594.00	20.441
594.25	27.582
594.50	6.5805
594.75	13.581
595.00	29.262
595.25	26.462
595.50	53.204
595.75	40.323
596.00	44.523
596.25	52.784
596.50	23.942
596.75	26.462
597.00	19.321
597.25	45.083
597.50	-10.781
597.75	26.322
598.00	35.002
598.25	13.161
598.50	57.824
598.75	28.282
599.00	27.442
599.25	37.663
599.50	14.141
599.75	18.341
600.00	62.584
