Wavelength (nm)	Q12 abs e
688.00	897.73
688.25	53.690
688.50	253.46
688.75	229.27
689.00	824.70
689.25	462.41
689.50	1455.9
689.75	-69.652
690.00	602.20
690.25	403.40
690.50	1220.8
690.75	1385.3
691.00	868.71
691.25	997.37
691.50	180.42
691.75	50.304
692.00	606.07
692.25	123.83
692.50	417.91
692.75	760.37
693.00	1558.0
693.25	2359.0
693.50	527.71
693.75	566.40
694.00	546.57
694.25	-13.060
694.50	945.14
694.75	2209.0
695.00	741.50
695.25	975.61
695.50	510.78
695.75	-95.771
696.00	-29.505
696.25	1389.2
696.50	-203.15
696.75	-995.92
697.00	562.53
697.25	-152.36
697.50	877.90
697.75	954.33
698.00	272.32
698.25	1349.5
698.50	1284.7
698.75	-935.46
699.00	-912.73
699.25	812.60
699.50	-904.02
699.75	1111.5
700.00	-1395.0
