Wavelength (nm)	Chem Sci 2014_3388, Cu-1 abs [Z]
678.00	0.20520
679.00	0.19601
680.00	0.18683
681.00	0.17765
682.00	0.16846
683.00	0.16125
684.00	0.15432
685.00	0.14738
686.00	0.14044
687.00	0.13350
688.00	0.12686
689.00	0.12180
690.00	0.11675
691.00	0.11169
692.00	0.10663
693.00	0.10158
694.00	0.096521
695.00	0.092750
696.00	0.089432
697.00	0.086114
698.00	0.082795
699.00	0.079477
700.00	0.076158
701.00	0.072840
702.00	0.069522
703.00	0.066475
704.00	0.064201
705.00	0.061927
706.00	0.059653
707.00	0.057380
708.00	0.055106
709.00	0.052832
710.00	0.050558
711.00	0.048292
712.00	0.046792
713.00	0.045292
714.00	0.043792
715.00	0.042292
716.00	0.040791
717.00	0.039291
718.00	0.037791
719.00	0.036291
720.00	0.034791
721.00	0.033476
722.00	0.032449
723.00	0.031422
724.00	0.030395
725.00	0.029368
726.00	0.028341
727.00	0.027314
728.00	0.026288
729.00	0.025261
730.00	0.024234
731.00	0.023207
732.00	0.022518
733.00	0.021888
734.00	0.021259
735.00	0.020629
736.00	0.020000
737.00	0.019370
738.00	0.018740
739.00	0.018111
740.00	0.017481
741.00	0.016852
742.00	0.016222
743.00	0.015691
744.00	0.015313
745.00	0.014935
746.00	0.014557
747.00	0.014180
748.00	0.013802
749.00	0.013424
750.00	0.013046
751.00	0.012669
752.00	0.012291
753.00	0.011913
754.00	0.011535
755.00	0.011135
756.00	0.010732
757.00	0.010330
758.00	0.0099277
759.00	0.0095253
760.00	0.0091229
761.00	0.0087205
762.00	0.0083181
763.00	0.0079158
764.00	0.0075134
765.00	0.0071547
766.00	0.0070094
767.00	0.0068642
768.00	0.0067189
769.00	0.0065736
770.00	0.0064283
771.00	0.0062831
772.00	0.0061378
773.00	0.0059925
774.00	0.0058472
775.00	0.0057019
776.00	0.0055567
777.00	0.0054114
778.00	0.0052661
779.00	0.0051208
780.00	0.0049860
781.00	0.0048792
782.00	0.0047724
783.00	0.0046656
784.00	0.0045588
785.00	0.0044520
786.00	0.0043452
787.00	0.0042384
788.00	0.0041317
789.00	0.0040249
790.00	0.0039181
791.00	0.0038113
792.00	0.0037045
793.00	0.0035977
794.00	0.0034909
795.00	0.0033841
796.00	0.0032774
797.00	0.0031706
798.00	0.0030638
799.00	0.0029570
800.00	0.0028502
