Wavelength (nm)	K12 abs e
384.75	2205.7
385.00	2479.7
385.25	1820.7
385.50	2035.9
385.75	2431.0
386.00	1815.7
386.25	1903.1
386.50	1844.2
386.75	2209.0
387.00	2382.2
387.25	1867.8
387.50	2308.2
387.75	2061.1
388.00	1644.2
388.25	1671.1
388.50	2558.7
388.75	2516.7
389.00	2325.0
389.25	2676.4
389.50	2730.2
389.75	2005.6
390.00	2084.6
390.25	2158.6
390.50	2370.4
390.75	2024.1
391.00	1837.5
391.25	2520.1
391.50	2456.2
391.75	2525.1
392.00	2051.0
392.25	2866.4
392.50	2738.6
392.75	2661.3
393.00	2093.0
393.25	3071.5
393.50	2415.8
393.75	2274.6
394.00	2052.7
394.25	2595.7
394.50	2678.1
394.75	2373.8
395.00	2989.1
395.25	2666.3
395.50	2639.4
395.75	2992.5
396.00	2974.0
396.25	2985.7
396.50	2938.7
396.75	3007.6
397.00	3034.5
397.25	2762.1
397.50	2768.9
397.75	3469.9
398.00	2686.5
398.25	3313.6
398.50	2985.7
398.75	3184.1
399.00	2871.4
399.25	2987.4
399.50	3271.5
399.75	2752.1
400.00	3550.6
400.25	3596.0
400.50	3041.2
400.75	3385.9
401.00	3022.7
401.25	3419.5
401.50	3076.5
401.75	3056.3
402.00	2953.8
402.25	3088.3
402.50	3769.2
402.75	3429.6
403.00	3459.8
403.25	3537.2
403.50	3664.9
403.75	3527.1
404.00	3315.2
404.25	3624.6
404.50	2819.3
404.75	3791.0
405.00	3602.7
405.25	3269.9
405.50	3725.5
405.75	3152.2
406.00	3700.2
406.25	3115.2
406.50	3908.7
406.75	3732.2
407.00	3555.7
407.25	3533.8
407.50	3567.4
407.75	3592.6
408.00	3480.0
408.25	3200.9
408.50	3500.2
408.75	3836.4
409.00	3797.7
409.25	3459.8
409.50	3438.0
409.75	3691.8
410.00	3922.1
410.25	3434.6
410.50	3160.6
410.75	3532.1
411.00	3411.1
411.25	3831.4
411.50	3451.4
411.75	3147.1
412.00	3900.3
412.25	3861.6
412.50	4011.2
412.75	3701.9
413.00	3434.6
413.25	4011.2
413.50	3764.1
413.75	3743.9
414.00	4068.4
414.25	3562.4
414.50	3735.5
414.75	3673.3
415.00	3886.8
415.25	3821.3
415.50	3495.1
415.75	3802.8
416.00	3532.1
416.25	3663.2
416.50	3969.2
416.75	4076.8
417.00	4167.6
417.25	3444.7
417.50	3937.3
417.75	3575.8
418.00	3945.7
418.25	3796.1
418.50	4036.5
418.75	4334.0
419.00	4176.0
419.25	3996.1
419.50	4517.3
419.75	3730.5
420.00	3969.2
420.25	3740.6
420.50	4534.1
420.75	4271.8
421.00	4019.7
421.25	4355.9
421.50	4187.8
421.75	4342.4
422.00	4134.0
