Wavelength (nm)	H09 abs e
458.50	1631.6
458.75	1626.2
459.00	1510.9
459.25	1406.2
459.50	1426.7
459.75	1284.8
460.00	1251.4
460.25	1259.3
460.50	1165.8
460.75	1122.5
461.00	1024.0
461.25	1118.8
461.50	1015.8
461.75	966.02
462.00	881.80
462.25	873.95
462.50	932.26
462.75	863.38
463.00	770.29
463.25	707.89
463.50	757.68
463.75	707.55
464.00	651.29
464.25	637.65
464.50	681.64
464.75	616.17
465.00	662.20
465.25	544.56
465.50	539.44
465.75	525.46
466.00	429.30
466.25	491.71
466.50	482.84
466.75	497.84
467.00	475.34
467.25	369.97
467.50	394.52
467.75	379.52
468.00	334.17
468.25	358.04
468.50	413.96
468.75	373.72
469.00	317.46
469.25	326.67
469.50	285.75
469.75	214.82
470.00	279.95
470.25	233.24
470.50	258.47
470.75	275.52
471.00	229.49
471.25	297.00
471.50	230.17
471.75	156.17
472.00	139.12
472.25	228.80
472.50	205.96
472.75	224.37
473.00	265.97
473.25	245.85
473.50	159.92
473.75	143.22
474.00	233.24
474.25	179.02
474.50	111.16
474.75	124.80
475.00	40.578
475.25	96.159
475.50	49.443
475.75	185.16
476.00	-6.4788
476.25	80.473
476.50	63.765
476.75	99.910
477.00	97.864
477.25	128.55
477.50	148.33
477.75	49.443
478.00	87.634
478.25	9.5477
478.50	-12.617
478.75	166.06
479.00	102.64
479.25	118.66
479.50	40.578
479.75	108.09
480.00	49.784
480.25	70.244
480.50	-19.095
480.75	25.233
481.00	29.325
481.25	28.643
481.50	94.795
481.75	34.099
482.00	-17.731
482.25	28.302
482.50	80.473
482.75	-16.367
483.00	10.571
483.25	102.30
483.50	-22.164
483.75	69.903
484.00	16.367
484.25	-30.348
484.50	4.4328
484.75	67.516
485.00	71.267
485.25	-27.279
485.50	30.348
485.75	46.033
486.00	-18.072
486.25	51.830
486.50	18.072
486.75	54.899
487.00	-7.1608
487.25	10.230
487.50	31.371
487.75	-20.800
488.00	95.477
488.25	22.846
488.50	33.758
488.75	24.551
489.00	23.869
489.25	-29.666
489.50	50.807
489.75	-8.8657
490.00	-30.689
490.25	8.5247
490.50	18.072
490.75	27.620
491.00	50.466
491.25	-54.217
491.50	-83.883
491.75	-28.302
492.00	-6.8198
492.25	-19.095
492.50	19.777
492.75	16.026
493.00	5.0652e-07
493.25	48.420
493.50	-4.0919
493.75	34.781
494.00	82.860
494.25	-12.958
494.50	-15.003
494.75	-17.049
495.00	-36.486
495.25	33.076
495.50	-60.696
495.75	94.454
496.00	-100.93
