Wavelength (nm)	Q05 abs e
588.50	5773.6
588.75	4729.2
589.00	4656.3
589.25	5048.5
589.50	3260.8
589.75	3972.2
590.00	4140.9
590.25	4054.3
590.50	3808.0
590.75	3028.2
591.00	2503.7
591.25	2531.1
591.50	3187.8
591.75	2968.9
592.00	2535.6
592.25	2307.6
592.50	2234.6
592.75	1514.1
593.00	1760.4
593.25	2015.7
593.50	2348.7
593.75	1600.7
594.00	2252.9
594.25	1500.4
594.50	1892.6
594.75	1254.1
595.00	2175.4
595.25	1395.5
595.50	1755.8
595.75	1951.9
596.00	2444.4
596.25	916.66
596.50	1222.2
596.75	1660.0
597.00	1787.7
597.25	770.72
597.50	916.66
597.75	2029.4
598.00	510.78
598.25	1108.2
598.50	1158.4
598.75	1614.4
599.00	1391.0
599.25	4.5606
599.50	716.00
599.75	556.38
600.00	843.69
600.25	1108.2
600.50	1851.6
600.75	1947.3
601.00	647.59
601.25	1249.6
601.50	45.605
601.75	788.97
602.00	1349.9
602.25	711.44
602.50	1263.3
602.75	1505.0
603.00	1085.4
603.25	433.25
603.50	898.42
603.75	620.23
604.00	1564.2
604.25	-314.67
604.50	1131.0
604.75	-364.84
605.00	1742.1
605.25	743.36
605.50	1783.2
605.75	861.93
606.00	86.650
606.25	693.20
606.50	1454.8
606.75	921.22
607.00	620.23
607.25	510.78
607.50	519.90
607.75	1391.0
608.00	510.78
608.25	620.23
608.50	72.968
608.75	451.49
609.00	1527.8
609.25	583.74
609.50	355.72
609.75	989.63
610.00	1153.8
610.25	1318.0
610.50	757.04
610.75	588.30
611.00	1140.1
611.25	-50.165
611.50	857.37
611.75	-95.771
612.00	1135.6
612.25	533.58
612.50	460.61
612.75	114.01
613.00	-109.45
613.25	1536.9
613.50	478.85
613.75	1664.6
614.00	364.84
614.25	953.14
614.50	898.42
614.75	702.32
615.00	428.69
615.25	77.528
615.50	1030.7
615.75	807.21
616.00	1021.6
616.25	1514.1
616.50	1441.1
616.75	579.18
617.00	-456.05
617.25	788.97
617.50	300.99
617.75	155.06
618.00	1208.5
618.25	228.03
618.50	684.07
618.75	1213.1
619.00	332.92
619.25	734.24
619.50	1600.7
619.75	1007.9
620.00	629.35
620.25	652.15
620.50	-159.62
620.75	925.78
621.00	615.67
621.25	738.80
621.50	784.40
621.75	971.39
622.00	259.95
622.25	556.38
622.50	738.80
622.75	1254.1
623.00	1363.6
623.25	-902.98
623.50	-816.33
623.75	-501.65
624.00	205.22
624.25	-264.51
624.50	337.48
624.75	1131.0
625.00	1682.8
625.25	136.82
625.50	729.68
625.75	843.69
626.00	953.14
626.25	369.40
626.50	1372.7
626.75	228.03
627.00	1701.1
627.25	1290.6
627.50	-173.30
627.75	1039.8
628.00	177.86
628.25	282.75
628.50	1240.5
628.75	907.54
629.00	-13.681
629.25	1080.8
629.50	538.14
629.75	875.62
630.00	1112.8
630.25	-424.13
630.50	839.13
630.75	287.31
631.00	989.63
631.25	1541.4
631.50	615.67
631.75	13.682
632.00	-401.32
632.25	953.14
632.50	656.71
632.75	405.88
