Wavelength (nm)	N08 abs e
437.50	1046.7
437.75	960.52
438.00	1017.3
438.25	1103.8
438.50	1031.3
438.75	999.16
439.00	981.44
439.25	1044.3
439.50	983.26
439.75	992.16
440.00	961.51
440.25	936.18
440.50	930.62
440.75	1123.6
441.00	984.94
441.25	1255.5
441.50	1071.2
441.75	976.65
442.00	1041.8
442.25	1036.3
442.50	953.14
442.75	1002.4
443.00	944.32
443.25	1189.8
443.50	984.94
443.75	980.91
444.00	1043.8
444.25	958.39
444.50	1140.0
444.75	1066.7
445.00	1062.7
445.25	1095.2
445.50	956.49
445.75	1101.6
446.00	1057.2
446.25	1035.7
446.50	981.44
446.75	1004.8
447.00	1024.3
447.25	1107.8
447.50	1168.4
447.75	1156.0
448.00	1050.8
448.25	1081.0
448.50	1130.2
448.75	1203.0
449.00	1127.5
449.25	1233.0
449.50	1189.4
449.75	1033.2
450.00	1020.1
450.25	1197.1
450.50	1092.7
450.75	1035.4
451.00	1086.1
451.25	1104.1
451.50	1151.1
451.75	1231.5
452.00	1204.6
452.25	1172.4
452.50	1192.0
452.75	1229.0
453.00	1095.7
453.25	1039.9
453.50	1063.3
453.75	1193.9
454.00	1123.7
454.25	1223.1
454.50	1231.2
454.75	1074.3
455.00	1207.2
455.25	1138.5
455.50	1125.4
455.75	1266.6
456.00	1124.9
456.25	1324.7
456.50	1211.2
456.75	1076.3
457.00	1308.1
457.25	1275.9
457.50	1215.6
457.75	1273.9
458.00	1310.2
458.25	1213.4
458.50	1279.3
458.75	1100.3
459.00	1450.8
459.25	1317.4
459.50	1302.8
459.75	1198.3
460.00	1349.5
460.25	1294.5
460.50	1247.1
460.75	1345.0
461.00	1338.7
461.25	1413.0
461.50	1380.0
461.75	1513.7
462.00	1549.2
462.25	1518.6
462.50	1320.6
462.75	1514.3
463.00	1565.0
463.25	1562.5
463.50	1503.7
463.75	1672.4
464.00	1660.7
464.25	1583.7
464.50	1693.7
464.75	1535.3
465.00	1767.1
465.25	1749.4
465.50	1810.0
465.75	1602.1
466.00	1715.2
466.25	1810.8
466.50	1889.7
466.75	1816.4
467.00	1968.4
467.25	1816.0
467.50	1900.2
467.75	1948.7
468.00	2104.4
468.25	1925.4
468.50	2184.5
468.75	2207.9
469.00	2296.7
469.25	2181.6
469.50	2238.4
469.75	2309.7
470.00	2276.0
470.25	2422.6
470.50	2369.1
470.75	2435.0
471.00	2450.8
471.25	2659.0
471.50	2578.1
471.75	2738.4
472.00	2649.9
472.25	2678.6
472.50	2737.0
472.75	2790.7
473.00	2880.3
473.25	3021.5
473.50	2838.7
473.75	3035.5
474.00	3087.0
474.25	3124.8
474.50	2879.7
474.75	3076.4
475.00	3175.1
475.25	3178.7
475.50	3338.2
475.75	3313.6
476.00	3593.3
476.25	3486.6
476.50	3667.4
476.75	3510.5
477.00	3649.5
477.25	3802.9
477.50	3796.6
477.75	3819.2
478.00	3942.9
478.25	3977.7
478.50	3887.7
478.75	3897.4
479.00	3946.6
479.25	3992.0
479.50	4159.1
479.75	4228.1
480.00	4436.3
480.25	4306.8
480.50	4286.8
480.75	4457.7
481.00	4500.8
481.25	4636.0
481.50	4431.9
481.75	4622.6
482.00	4504.5
482.25	4468.5
482.50	4765.7
482.75	4802.7
483.00	4737.1
483.25	4899.7
483.50	4812.7
483.75	5037.6
484.00	4886.8
484.25	4807.5
484.50	5041.5
484.75	5015.4
485.00	5000.0
485.25	5108.5
485.50	5319.8
485.75	5172.7
486.00	5231.1
486.25	5211.1
486.50	5333.3
486.75	5267.7
487.00	5346.6
487.25	5469.6
487.50	5358.3
487.75	5568.0
488.00	5412.6
488.25	5678.6
488.50	5771.2
488.75	5897.2
489.00	5692.4
489.25	5746.2
489.50	5874.5
489.75	5688.6
490.00	5976.7
490.25	5806.1
490.50	5936.7
490.75	5880.2
491.00	5980.4
491.25	6124.7
491.50	6319.2
491.75	6266.5
492.00	6267.0
492.25	6491.9
492.50	6409.5
492.75	6615.5
493.00	6489.0
493.25	6701.7
493.50	6654.3
493.75	6859.5
494.00	6860.0
494.25	7094.8
494.50	7064.2
494.75	6866.2
495.00	7211.3
495.25	7269.7
495.50	7386.6
495.75	7428.9
496.00	7511.6
496.25	7606.5
496.50	7736.3
496.75	7867.7
497.00	7789.1
497.25	7888.5
497.50	8277.8
497.75	8200.7
498.00	8558.0
498.25	8722.9
498.50	8800.2
498.75	8842.6
499.00	8967.9
499.25	9235.4
499.50	9293.8
499.75	9387.9
500.00	9713.2
500.25	9912.3
500.50	9966.1
500.75	10159
501.00	10341
501.25	10370
501.50	10761
501.75	10940
502.00	10986
502.25	11414
502.50	11708
502.75	11606
503.00	11811
503.25	11916
503.50	12318
503.75	12567
504.00	12723
504.25	12979
504.50	13411
504.75	13635
505.00	13733
505.25	13781
505.50	14180
505.75	14395
506.00	14743
506.25	15194
506.50	15352
506.75	15585
507.00	15984
507.25	15958
507.50	16476
507.75	16857
508.00	16924
508.25	17271
508.50	17426
508.75	17651
509.00	18111
509.25	18340
509.50	18571
509.75	19054
510.00	19456
510.25	19460
510.50	19923
510.75	20114
511.00	20204
511.25	20574
511.50	21013
511.75	21305
512.00	21580
512.25	21894
512.50	22305
512.75	22553
513.00	22558
513.25	22901
513.50	23035
513.75	23520
514.00	23513
514.25	23640
514.50	24268
514.75	24339
515.00	24620
515.25	24857
515.50	24977
515.75	25091
516.00	25494
516.25	25512
516.50	25561
516.75	25780
517.00	25933
517.25	26117
517.50	26073
517.75	26163
518.00	26130
518.25	26500
518.50	26374
518.75	26470
519.00	26441
519.25	26441
519.50	26685
519.75	26427
520.00	26506
520.25	26411
520.50	26627
520.75	26317
521.00	26351
521.25	26341
521.50	26180
521.75	26139
522.00	26212
522.25	26202
522.50	25965
522.75	26134
523.00	26038
523.25	25711
523.50	25846
523.75	25850
524.00	25624
524.25	25363
524.50	25374
524.75	25302
525.00	25272
525.25	25182
525.50	24891
525.75	24976
526.00	24734
526.25	24844
526.50	24765
526.75	24654
527.00	24671
527.25	24428
527.50	24475
527.75	24258
528.00	24167
528.25	24204
528.50	24243
528.75	24032
529.00	24159
529.25	24108
529.50	24269
529.75	24038
530.00	24129
530.25	24073
530.50	24164
530.75	24142
531.00	24026
531.25	24218
531.50	24161
531.75	24287
532.00	24380
532.25	24557
532.50	24644
532.75	24723
533.00	25009
533.25	24976
533.50	24991
533.75	25232
534.00	25501
534.25	25632
534.50	25766
534.75	25833
535.00	26098
535.25	26472
535.50	26430
535.75	26867
536.00	27159
536.25	27291
536.50	27675
536.75	28074
537.00	28200
537.25	28631
537.50	29030
537.75	29343
538.00	29712
538.25	30285
538.50	30720
538.75	31125
539.00	31455
539.25	32029
539.50	32578
539.75	32957
540.00	33447
540.25	34046
540.50	34602
540.75	35200
541.00	35810
541.25	36163
541.50	36985
541.75	37343
542.00	37981
542.25	38680
542.50	39341
542.75	39929
543.00	40766
543.25	41517
543.50	42203
543.75	42757
544.00	43602
544.25	44276
544.50	45141
544.75	45987
545.00	46710
545.25	47515
545.50	48410
545.75	49102
546.00	50010
546.25	50776
546.50	51552
546.75	52566
547.00	53392
547.25	54508
547.50	55281
547.75	56305
548.00	57061
548.25	57899
548.50	58951
548.75	60044
549.00	60798
549.25	61790
549.50	62838
549.75	63807
550.00	64718
550.25	65773
550.50	66660
550.75	67856
551.00	68844
551.25	69797
551.50	70854
551.75	71883
552.00	72841
552.25	73667
552.50	74758
552.75	75545
553.00	76783
553.25	77581
553.50	78456
553.75	79281
554.00	80073
554.25	81018
554.50	82036
554.75	82618
555.00	83314
555.25	84335
555.50	85325
555.75	86000
556.00	86745
556.25	87352
556.50	87997
556.75	88376
557.00	88747
557.25	89069
557.50	89546
557.75	89880
558.00	89821
558.25	89986
558.50	90210
558.75	90370
559.00	90401
559.25	90110
559.50	90364
559.75	90109
560.00	89882
560.25	89588
560.50	89332
560.75	88790
561.00	88846
561.25	88012
561.50	87570
561.75	87031
562.00	86181
562.25	85588
562.50	84852
562.75	83990
563.00	83166
563.25	82360
563.50	81227
563.75	80311
564.00	79235
564.25	78312
564.50	76735
564.75	75857
565.00	74688
565.25	73413
565.50	72214
565.75	71009
566.00	69610
566.25	68124
566.50	66687
566.75	65494
567.00	64206
567.25	62539
567.50	61282
567.75	60026
568.00	58436
568.25	56876
568.50	55471
568.75	54207
569.00	52767
569.25	51396
569.50	50080
569.75	48084
570.00	46833
570.25	45506
570.50	43980
570.75	42707
571.00	41434
571.25	40032
571.50	38866
571.75	37680
572.00	36170
572.25	35095
572.50	34003
572.75	32858
573.00	31490
573.25	30695
573.50	29417
573.75	28490
574.00	27871
574.25	27361
574.50	26678
574.75	25661
575.00	24713
575.25	23832
575.50	22953
575.75	22110
576.00	21097
576.25	20357
576.50	19687
576.75	18831
577.00	18132
577.25	17318
577.50	16742
577.75	15949
578.00	15424
578.25	14720
578.50	14123
578.75	13526
579.00	12851
579.25	12474
579.50	11788
579.75	11375
580.00	10803
580.25	10570
580.50	9823.1
580.75	9506.4
581.00	9141.8
581.25	8698.1
581.50	8468.1
581.75	7990.9
582.00	7688.7
582.25	7311.9
582.50	7108.6
582.75	6604.1
583.00	6432.7
583.25	6187.5
583.50	5932.4
