Wavelength (nm)	O06 abs e
467.00	62.503
467.25	83.269
467.50	77.454
467.75	72.471
468.00	79.739
468.25	66.241
468.50	60.012
468.75	66.034
469.00	89.498
469.25	43.399
469.50	49.421
469.75	55.859
470.00	58.350
470.25	17.443
470.50	26.580
470.75	97.804
471.00	62.919
471.25	55.443
471.50	-7.2678
471.75	-11.421
472.00	63.334
472.25	2.2842
472.50	37.170
472.75	61.465
473.00	83.892
473.25	67.072
473.50	47.968
473.75	36.755
474.00	1.2459
474.25	77.454
474.50	-12.874
474.75	44.022
475.00	49.837
475.25	44.022
475.50	58.558
475.75	20.350
476.00	35.716
476.25	52.744
476.50	83.476
476.75	38.416
477.00	40.492
477.25	36.547
477.50	57.105
477.75	50.875
478.00	25.126
478.25	46.307
478.50	55.236
478.75	92.613
479.00	55.443
479.25	9.1367
479.50	64.580
479.75	27.203
480.00	44.853
480.25	19.727
480.50	30.525
480.75	58.350
481.00	99.881
481.25	17.650
481.50	27.203
481.75	72.471
482.00	66.449
482.25	51.706
482.50	38.623
482.75	47.552
483.00	70.602
483.25	78.700
483.50	51.706
483.75	57.105
484.00	18.689
484.25	89.706
484.50	24.503
484.75	79.531
485.00	60.842
485.25	75.793
485.50	62.711
485.75	53.367
486.00	-2.2842
486.25	42.154
486.50	62.919
486.75	11.836
487.00	65.618
487.25	46.930
487.50	63.542
487.75	27.618
488.00	41.115
488.25	48.175
488.50	68.733
488.75	48.591
489.00	19.312
489.25	40.908
489.50	57.727
489.75	25.749
490.00	82.646
490.25	78.285
490.50	14.743
490.75	70.810
491.00	47.968
491.25	75.378
491.50	50.667
491.75	58.143
492.00	23.465
492.25	11.836
492.50	-7.2678
492.75	29.487
493.00	49.006
493.25	12.044
493.50	59.181
493.75	31.148
494.00	64.580
494.25	30.733
494.50	-3.7378
494.75	11.006
495.00	-15.989
495.25	74.547
495.50	17.235
495.75	34.886
496.00	58.973
496.25	20.350
496.50	86.176
496.75	12.874
497.00	47.760
497.25	14.951
497.50	32.601
497.75	27.410
498.00	36.755
498.25	45.061
498.50	14.536
498.75	62.919
499.00	70.810
499.25	55.028
499.50	64.788
499.75	63.542
500.00	29.902
