Wavelength (nm)	P03  abs e
581.75	45.595
582.00	43.685
582.25	8.7302
582.50	101.25
582.75	-13.846
583.00	27.043
583.25	78.197
583.50	90.576
583.75	-18.040
584.00	74.411
584.25	103.91
584.50	117.14
584.75	18.074
585.00	47.948
585.25	72.945
585.50	56.269
585.75	58.656
586.00	56.474
586.25	12.413
586.50	-0.34102
586.75	27.793
587.00	34.546
587.25	37.410
587.50	21.962
587.75	35.876
588.00	43.924
588.25	57.156
588.50	17.699
588.75	65.715
589.00	84.506
589.25	106.54
589.50	41.230
589.75	64.283
590.00	109.54
590.25	-11.117
590.50	80.584
590.75	82.971
591.00	55.075
591.25	99.272
591.50	77.105
591.75	60.395
592.00	58.656
592.25	56.371
592.50	86.449
592.75	52.279
593.00	80.857
593.25	64.692
593.50	108.92
593.75	0.10231
594.00	22.678
594.25	102.14
594.50	31.613
594.75	36.762
595.00	35.296
595.25	58.247
595.50	26.157
595.75	53.370
596.00	77.276
596.25	65.886
596.50	98.999
596.75	40.173
597.00	39.593
597.25	27.452
597.50	92.042
597.75	19.848
598.00	32.568
598.25	97.294
598.50	-8.3210
598.75	75.503
599.00	72.809
599.25	52.654
599.50	90.030
599.75	15.517
600.00	75.162
